text,intent
Il a reçu un choc violent à la tête il vomit.,medical_urgency
On peut annuler le rdv de 11h ?,cancel_appointment
Je retire ma demande de rendez-vous.,cancel_appointment
Est-ce que le docteur House consulte le mercredi ?,book_appointment
À plus tard merci.,off_topic
Désistement pour la consultation de 16h.,cancel_appointment
Y a-t-il quelqu'un qui parle anglais ?,info_practical
J'ai besoin de caler une consultation pour mes allergies.,book_appointment
Je veux voir un film ce soir.,off_topic
Faut-il être à jeun pour l'examen ?,info_practical
Supprimez ma réservation s'il vous plaît.,cancel_appointment
Je voudrais prendre rendez-vous avec le docteur Martin.,book_appointment
Tu connais Siri ?,off_topic
Il a été renversé par une voiture il ne bouge pas.,medical_urgency
Êtes-vous un humain ou une machine ?,off_topic
Bonjour comment ça va aujourd'hui ?,off_topic
Il a une barre dans la poitrine et sueurs froides.,medical_urgency
Je veux réserver le créneau de 17h si possible.,book_appointment
Il y a du sang partout il s'est coupé avec une machine.,medical_urgency
Faut-il avancer les frais ?,info_practical
Je ne serai pas disponible finalement.,cancel_appointment
Mon fils est malade je dois annuler sa visite.,cancel_appointment
Désolé je ne viendrai pas au cabinet.,cancel_appointment
J'aimerais bloquer un moment pour mon bilan de santé.,book_appointment
Je veux dormir.,off_topic
Je ne comprends rien.,off_topic
Est-ce qu'il reste de la place pour un pansement demain ?,book_appointment
Salut je voulais juste dire bonjour.,off_topic
J'aimerais fixer une date pour un rappel de vaccin.,book_appointment
Est-ce que le centre est accessible aux fauteuils roulants ?,info_practical
Je dois absolument voir quelqu'un pour ma grippe.,book_appointment
Est-ce possible de décommander mon rdv ?,cancel_appointment
Quelle est la station de métro la plus proche ?,info_practical
Tu es un garçon ou une fille ?,off_topic
Merci beaucoup pour les infos.,off_topic
Est-ce que vous êtes ouverts pendant les vacances ?,info_practical
Ma femme est tombée inconsciente elle ne réagit plus.,medical_urgency
Quel est le tarif des dépassements d'honoraires ?,info_practical
Y a-t-il un ascenseur ?,info_practical
C'est quoi ton film préféré ?,off_topic
Je veux acheter des baskets.,off_topic
Il s'est ouvert l'artère ça gicle il faut une ambulance.,medical_urgency
Bonne soirée à tout le monde.,off_topic
Il vient de faire une crise d'épilepsie.,medical_urgency
Je voudrais consulter pour des maux de tête fréquents.,book_appointment
C'est mort pour demain j'annule.,cancel_appointment
Y a-t-il du retard aujourd'hui ?,info_practical
Je veux voir le cardiologue pour mon hypertension.,book_appointment
Quels documents faut-il apporter ?,info_practical
Quelle est la capitale de l'Espagne ?,off_topic
C'est loin de la gare ?,info_practical
Est-ce qu'il y a une disponibilité pour un renouvellement ?,book_appointment
Merci de m'avoir répondu.,off_topic
Je m'ennuie parlez-moi d'autre chose.,off_topic
Il y a un incendie et j'ai inhalé de la fumée.,medical_urgency
C'est pour le suivi de ma grossesse.,book_appointment
Je cherche un plombier.,off_topic
Racontez-moi une blague.,off_topic
Je ne vais pas pouvoir venir urgence.,cancel_appointment
Serait-il possible de voir l'ophtalmo avant la fin du mois ?,book_appointment
C'est possible d'avoir un rdv vidéo ?,book_appointment
Elle convulse par terre aidez-nous.,medical_urgency
Comment on dit merci en chinois ?,off_topic
Je voudrais réserver une table au resto.,off_topic
J'appelle pour dire que j'annule.,cancel_appointment
Le secrétariat est ouvert le midi ?,info_practical
Il me faut un rdv pour un certificat de sport.,book_appointment
Je laisse ma place à un autre patient.,cancel_appointment
Quel est le médecin de garde ce soir ?,info_practical
Annulation de dernière minute désolé.,cancel_appointment
Je ne peux pas venir à cause de la grève.,cancel_appointment
Je ne suis plus disponible à cette heure-là.,cancel_appointment
Vous avez de la place pour une séance de kiné cette semaine ?,book_appointment
Mon fils est bleu et ne pleure pas.,medical_urgency
C'est pour une visite de routine.,book_appointment
Faites-vous les prises de sang sans rdv ?,info_practical
Est-ce qu'il y a de la place pour une consultation demain ?,book_appointment
J'aime pas attendre au téléphone.,off_topic
C'est une tentative de suicide appelez les secours.,medical_urgency
Réservez-moi une place pour la semaine prochaine.,book_appointment
Avez-vous le wifi dans la salle d'attente ?,info_practical
Elle est en train d'accoucher dans le salon.,medical_urgency
Oubliez mon rendez-vous de mardi.,cancel_appointment
Je suis un nouveau patient je veux prendre rdv.,book_appointment
Vous êtes intelligent pour un robot.,off_topic
Il me faudrait une plage horaire pour une téléconsultation.,book_appointment
Puis-je payer en espèces ?,info_practical
Merci d'effacer mon rdv.,cancel_appointment
Donnez-moi les résultats du loto.,off_topic
Il a pris une balle dans la jambe.,medical_urgency
Mon père ne se réveille pas c'est un coma.,medical_urgency
C'est une urgence vitale il s'étouffe.,medical_urgency
C'est combien le prix pour une visite à domicile ?,info_practical
Je dois voir le médecin pour mes résultats d'analyse.,book_appointment
Je crois que je fais un AVC mon bras est paralysé.,medical_urgency
Avez-vous de la place le 12 pour un détartrage ?,book_appointment
Va-t-il pleuvoir cet après-midi ?,off_topic
Je souhaite réserver une séance d'ostéopathie.,book_appointment
Mon mari respire plus du tout aidez-moi.,medical_urgency
Mon bébé a une fièvre de 41 et il est tout mou.,medical_urgency
Vous pouvez m'envoyer le plan d'accès ?,info_practical
Je voudrais prendre rdv pour ma mère chez le dermato.,book_appointment
C'est bien le cabinet du docteur House ?,info_practical
Je ne sens plus mes jambes après l'accident.,medical_urgency
C'est quoi ton nom ?,off_topic
À quelle heure vous fermez le soir ?,info_practical
Joyeux anniversaire.,off_topic
Quel est le sens de la vie ?,off_topic
Je voudrais un rendez-vous tôt le matin.,book_appointment
Je veux voir un spécialiste du sommeil.,book_appointment
Je voudrais annuler mon rdv de demain.,cancel_appointment
Je voudrais mettre fin à mon suivi.,cancel_appointment
J'ai trouvé un autre médecin merci de supprimer.,cancel_appointment
Le parking est-il payant ?,info_practical
C'est pour faire le point sur mon traitement.,book_appointment
Je cherche un nutritionniste pour un bilan.,book_appointment
Au revoir et bonne journée.,off_topic
Pouvez-vous chanter ?,off_topic
Vous pouvez m'inscrire pour la vaccination de 15h ?,book_appointment
Qui dois-je appeler en cas d'urgence la nuit ?,info_practical
Ma voiture est en panne j'annule.,cancel_appointment
Ok super à bientôt.,off_topic
À quel étage se trouve le cabinet ?,info_practical
Est-ce qu'il y a une pharmacie à côté ?,info_practical
Est-ce que je serai remboursé à 100% ?,info_practical
Ma gorge gonfle je ne peux plus avaler.,medical_urgency
Vite il s'est électrocuté il ne bouge plus.,medical_urgency
Je ne peux pas honorer le rendez-vous.,cancel_appointment
Vous prenez la carte vitale pour le remboursement ?,info_practical
Test un deux trois.,off_topic
J'aimerais bien prendre un rdv pour un examen cardiaque.,book_appointment
C'est plus la peine de me garder la place.,cancel_appointment
Ma fille fait un choc allergique elle n'arrive plus à respirer.,medical_urgency
J'ai une douleur terrible dans le bas du dos impossible de bouger.,medical_urgency
Je veux jouer à un jeu.,off_topic
Il s'est noyé on vient de le sortir de l'eau.,medical_urgency
